,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
8: The Mormon Proposition,797,[99],40428,en,2.19,2010-01-01,6.2,11,tt1484522,8: The Mormon Proposition,2010.0,80.0,Documentary,,,38,"Jun 18, 2010",2500000,100280,100280,1
90 Minutes in Heaven,14699,[18],343795,en,5.797999999999999,2015-09-11,5.3,63,tt4337690,90 Minutes in Heaven,2015.0,121.0,Drama,,,38,"Sep 11, 2015",5000000,4816142,4816142,9
A Bad Moms Christmas,20684,[35],431530,en,16.604,2017-11-01,6.3,1044,tt6359956,A Bad Moms Christmas,2017.0,104.0,Adventure,Comedy,,40,"Nov 1, 2017",28000000,72110659,127710550,11
A Better Life,2922,[18],55720,en,5.885,2011-06-24,7.1,97,tt1554091,A Better Life,2011.0,98.0,Drama,Romance,,84,"Jun 24, 2011",10000000,1759252,1884251,6
A Dangerous Method,2615,"[18, 53]",48231,en,10.352,2011-11-23,6.3,1066,tt1571222,A Dangerous Method,2011.0,99.0,Biography,Drama,Romance,69,"Nov 23, 2011",20000000,5702083,14807531,11
A Few Best Men,2684,[35],85435,en,8.84,2011-10-14,5.8,247,tt1640711,A Few Best Men,2011.0,97.0,Comedy,Romance,,55,"May 5, 2015",15000000,0,17224539,10
A Ghost Story,20776,"[18, 14, 10749]",428449,en,11.886,2017-07-07,7.0,906,tt6265828,A Ghost Story,2017.0,92.0,Drama,Fantasy,Romance,86,"Jul 7, 2017",100000,1594798,2769782,7
A Good Day to Die Hard,7919,"[28, 53]",47964,en,15.857999999999999,2013-02-14,5.2,4437,tt1606378,A Good Day to Die Hard,2013.0,98.0,Action,Thriller,,34,"Feb 14, 2013",92000000,67349198,304249198,2
A Haunted House,8224,"[35, 27]",139038,en,6.909,2013-01-11,5.5,871,tt2243537,A Haunted House,2013.0,86.0,Comedy,Fantasy,,12,"Jan 11, 2013",2500000,40041683,59922558,1
A Haunted House 2,11410,"[35, 27]",184345,en,6.9479999999999995,2014-04-18,5.5,597,tt2828996,A Haunted House 2,2014.0,86.0,Comedy,Fantasy,,89,"Apr 18, 2014",4000000,17329487,21206861,4
