,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
Cop Car,14287,[53],310133,en,11.414000000000001,2015-08-07,5.8,452,tt3813310,Cop Car,2015.0,88.0,Crime,Thriller,,71,"Aug 7, 2015",5000000,134552,143658,8
Cop Out,185,"[28, 35, 80]",23742,en,8.82,2010-02-26,5.4,796,tt1385867,Cop Out,2010.0,107.0,Action,Comedy,Crime,99,"Feb 26, 2010",37000000,44875481,55909910,2
Copycat,16881,"[27, 99]",366897,en,0.6,2015-03-06,6.7,3,tt2236686,Copycat,2016.0,90.0,Comedy,,,60,"Oct 27, 1995",20000000,32051917,32051917,3
Coriolanus,5400,"[18, 53]",101173,en,8.016,2012-01-19,6.0,215,tt1372686,Coriolanus,2011.0,123.0,Drama,Thriller,War,99,"Jan 20, 2012",10000000,749641,2179623,1
Coriolanus,5400,"[18, 53]",101173,en,8.016,2012-01-19,6.0,215,tt9151404,Coriolanus,2019.0,86.18724706088021,Drama,,,99,"Jan 20, 2012",10000000,749641,2179623,1
Counting,16645,[99],322745,en,0.6,2015-07-31,8.3,3,tt4462082,Counting,2015.0,111.0,Documentary,,,20,"Jul 31, 2015",50000,8374,8374,7
Country Strong,277,"[18, 10749, 10402]",45272,en,7.567,2010-12-22,6.3,126,tt1555064,Country Strong,2010.0,117.0,Drama,Music,,71,"Dec 22, 2010",15000000,20218921,20601987,12
Courageous,2800,[18],72213,en,7.406000000000001,2011-09-30,7.0,128,tt1630036,Courageous,2011.0,129.0,Drama,,,87,"Sep 30, 2011",2000000,34522221,35185884,9
Crawl,3488,"[80, 53]",91926,en,1.9369999999999998,2011-10-15,5.6,18,tt1848832,Crawl,2011.0,80.0,Crime,Thriller,,16,"Jul 12, 2019",17000000,0,0,10
Crawl,3488,"[80, 53]",91926,en,1.9369999999999998,2011-10-15,5.6,18,tt2181875,Crawl,2012.0,95.0,Drama,,,16,"Jul 12, 2019",17000000,0,0,10
Crawl,3488,"[80, 53]",91926,en,1.9369999999999998,2011-10-15,5.6,18,tt8364368,Crawl,2019.0,86.18724706088021,Action,Horror,Thriller,16,"Jul 12, 2019",17000000,0,0,10
Crazy Rich Asians,23919,"[35, 18, 10749]",455207,en,17.969,2018-08-15,7.1,1496,tt3104988,Crazy Rich Asians,2018.0,120.0,Comedy,Romance,,38,"Aug 15, 2018",30000000,174532921,238099711,8
Creative Control,14945,"[18, 878]",320146,en,3.35,2016-03-11,5.6,36,tt3277624,Creative Control,2015.0,97.0,Drama,Sci-Fi,,82,"Mar 11, 2016",1000000,63014,63014,3
Creature,2988,[27],73963,en,5.121,2011-09-09,4.1,23,tt1686018,Creature,2011.0,93.0,Horror,,,38,"Sep 9, 2011",3000000,331000,331000,9
Creature,2988,[27],73963,en,5.121,2011-09-09,4.1,23,tt3619854,Creature,2014.0,134.0,Action,Horror,Sci-Fi,38,"Sep 9, 2011",3000000,331000,331000,9
Creature,2988,[27],73963,en,5.121,2011-09-09,4.1,23,tt3696384,Creature,2014.0,84.0,Biography,Crime,Documentary,38,"Sep 9, 2011",3000000,331000,331000,9
Creed,14225,[18],312221,en,16.355999999999998,2015-11-25,7.3,4010,tt1632705,Creed,2010.0,77.0,Horror,,,91,"Nov 25, 2015",37000000,109767581,173567581,11
Creed,14225,[18],312221,en,16.355999999999998,2015-11-25,7.3,4010,tt3076658,Creed,2015.0,133.0,Drama,Sport,,91,"Nov 25, 2015",37000000,109767581,173567581,11
Creed,14225,[18],312221,en,16.355999999999998,2015-11-25,7.3,4010,tt4354930,Creed,2016.0,80.0,Crime,Drama,,91,"Nov 25, 2015",37000000,109767581,173567581,11
Creed II,23850,[18],480530,en,26.906999999999996,2018-11-21,6.7,2236,tt6343314,Creed II,2018.0,130.0,Drama,Sport,,96,"Nov 21, 2018",50000000,115715889,213591522,11
Criminal,17477,"[28, 80, 878, 53, 9648, 18]",302156,en,13.651,2016-04-15,5.9,897,tt2093091,Criminal,2011.0,86.18724706088021,Action,Crime,Drama,21,"Apr 15, 2016",31500000,14708696,38771262,4
Criminal,17477,"[28, 80, 878, 53, 9648, 18]",302156,en,13.651,2016-04-15,5.9,897,tt3014866,Criminal,2016.0,113.0,Action,Crime,Drama,21,"Apr 15, 2016",31500000,14708696,38771262,4
Criminal Activities,14450,"[53, 80, 18]",334527,en,7.914,2015-11-20,5.9,166,tt3687310,Criminal Activities,2015.0,94.0,Crime,Drama,Thriller,67,"Nov 20, 2015",7000000,0,386744,11
Crimson Peak,14326,"[18, 14, 27, 9648, 10749, 53]",201085,en,9.897,2015-10-16,6.5,2986,tt2554274,Crimson Peak,2015.0,119.0,Drama,Fantasy,Horror,33,"Oct 16, 2015",55000000,31090320,74966854,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt1848834,Crossroads,2015.0,87.0,Action,Crime,Drama,67,"Feb 15, 2002",12000000,37188667,57000000,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt1848834,Crossroads,2015.0,87.0,Action,Crime,Drama,86,"Jun 23, 2015",500000,0,0,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt1980074,Crossroads,2014.0,86.18724706088021,Action,,,67,"Feb 15, 2002",12000000,37188667,57000000,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt1980074,Crossroads,2014.0,86.18724706088021,Action,,,86,"Jun 23, 2015",500000,0,0,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt2190231,Crossroads,2012.0,86.18724706088021,Comedy,,,67,"Feb 15, 2002",12000000,37188667,57000000,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt2190231,Crossroads,2012.0,86.18724706088021,Comedy,,,86,"Jun 23, 2015",500000,0,0,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt8106586,Crossroads,2018.0,86.18724706088021,Documentary,,,67,"Feb 15, 2002",12000000,37188667,57000000,10
Crossroads,23689,[53],513667,en,0.6,2017-10-14,4.0,1,tt8106586,Crossroads,2018.0,86.18724706088021,Documentary,,,86,"Jun 23, 2015",500000,0,0,10
Crowsnest,6184,[],137955,en,1.755,2012-01-01,4.9,18,tt2180333,Crowsnest,2012.0,84.0,Horror,Mystery,Thriller,84,"Sep 7, 2012",1200000,0,0,1
Cube,12926,[],410265,en,0.84,2014-05-02,2.0,1,tt3020324,Cube,2013.0,113.0,Biography,Documentary,,78,"Sep 11, 1998",250000,489220,8969065,5
Cursed,16443,"[16, 35]",466616,en,0.63,2015-04-11,7.0,1,tt4024312,Cursed,2016.0,81.0,Comedy,,,14,"Feb 25, 2005",35000000,19294901,25114901,4
Cyrus,261,"[35, 18, 10749]",39053,en,7.735,2010-06-18,6.0,201,tt1327709,Cyrus,2010.0,87.0,Crime,Horror,Mystery,27,"Jun 18, 2010",7000000,7468936,10062896,6
Cyrus,261,"[35, 18, 10749]",39053,en,7.735,2010-06-18,6.0,201,tt1336617,Cyrus,2010.0,91.0,Comedy,Drama,Romance,27,"Jun 18, 2010",7000000,7468936,10062896,6
Da Sweet Blood of Jesus,11931,"[53, 35, 10749, 18]",278316,en,2.6069999999999998,2014-06-22,4.6,33,tt3104930,Da Sweet Blood of Jesus,2014.0,123.0,Comedy,Romance,Thriller,56,"Jan 13, 2015",1250000,0,0,6
Dallas Buyers Club,7970,"[18, 36]",152532,en,12.389000000000001,2013-11-22,7.9,4961,tt0790636,Dallas Buyers Club,2013.0,117.0,Biography,Drama,,73,"Nov 1, 2013",5000000,27298285,60611845,11
Damsels in Distress,5512,"[35, 10749]",82533,en,6.625,2012-04-06,5.5,103,tt1667307,Damsels in Distress,2011.0,99.0,Comedy,Drama,Romance,31,"Apr 6, 2012",3000000,1007535,1324299,4
Danny Collins,14379,"[35, 18, 10402]",256924,en,8.933,2015-03-20,6.7,260,tt1772288,Danny Collins,2015.0,106.0,Biography,Comedy,Drama,59,"Mar 20, 2015",10000000,5637066,8465845,3
Dark Shadows,5213,"[35, 14]",62213,en,15.75,2012-05-11,5.9,4197,tt1077368,Dark Shadows,2012.0,113.0,Comedy,Fantasy,Horror,89,"May 11, 2012",150000000,79727149,238202668,5
Dark Skies,7978,"[878, 53, 27]",145135,en,11.582,2013-02-22,6.1,1004,tt2387433,Dark Skies,2013.0,97.0,Horror,Sci-Fi,Thriller,97,"Feb 22, 2013",3500000,17418667,27704111,2
Darkest Hour,20705,"[18, 36]",399404,en,15.331,2017-11-22,7.3,2715,tt4555426,Darkest Hour,2017.0,125.0,Biography,Drama,History,84,"Nov 22, 2017",30000000,56443120,150807172,11
Darling Companion,5683,"[18, 10749]",89325,en,4.656000000000001,2012-04-20,5.0,46,tt1730687,Darling Companion,2012.0,103.0,Comedy,Drama,Romance,34,"Apr 20, 2012",12000000,793352,1200346,4
Date Night,71,[35],35056,en,12.498,2010-04-08,6.0,1743,tt1279935,Date Night,2010.0,88.0,Comedy,Crime,Romance,99,"Apr 9, 2010",55000000,98711404,152269033,4
Dawn of the Crescent Moon,12480,"[53, 18, 878]",326576,en,1.4,2014-04-05,2.0,1,tt3157318,Dawn of the Crescent Moon,2014.0,95.0,Drama,Sci-Fi,Thriller,2,"Jul 17, 2015",75000,8799,8799,4
Dawn of the Planet of the Apes,11034,"[878, 28, 18, 53]",119450,en,27.641,2014-07-11,7.3,7080,tt2103281,Dawn of the Planet of the Apes,2014.0,130.0,Action,Adventure,Drama,17,"Jul 11, 2014",170000000,208545589,710644566,7
Daylight,3746,"[53, 27]",140781,en,1.4,2011-07-17,4.2,3,tt1254978,Daylight,2010.0,75.0,Crime,Horror,Thriller,95,"Dec 6, 1996",80000000,32908290,158908290,7
Daylight,3746,"[53, 27]",140781,en,1.4,2011-07-17,4.2,3,tt2362036,Daylight,2013.0,97.0,Drama,Horror,Mystery,95,"Dec 6, 1996",80000000,32908290,158908290,7
Dead Man Down,8013,"[53, 28, 80, 18]",102362,en,10.349,2013-03-08,6.0,866,tt2101341,Dead Man Down,2013.0,118.0,Action,Crime,Drama,78,"Mar 8, 2013",30000000,10895295,19599974,3
Deadfall,5325,"[80, 18, 53]",97614,en,9.491,2012-12-07,5.9,357,tt1667310,Deadfall,2012.0,95.0,Crime,Drama,Thriller,83,"Dec 7, 2012",6000000,66351,1673635,12
Deadline,6341,"[18, 9648, 53]",91316,en,1.4,2012-02-15,5.5,4,tt1430811,Deadline,2012.0,95.0,Drama,Mystery,Thriller,29,"Dec 31, 2009",1800000,0,0,2
Deadline,6341,"[18, 9648, 53]",91316,en,1.4,2012-02-15,5.5,4,tt1701989,Deadline,2011.0,86.18724706088021,Thriller,,,29,"Dec 31, 2009",1800000,0,0,2
Deadline,6341,"[18, 9648, 53]",91316,en,1.4,2012-02-15,5.5,4,tt2106383,Deadline,2011.0,83.0,Mystery,Thriller,,29,"Dec 31, 2009",1800000,0,0,2
Deadline,6341,"[18, 9648, 53]",91316,en,1.4,2012-02-15,5.5,4,tt2623734,Deadline,2016.0,95.0,Comedy,Romance,,29,"Dec 31, 2009",1800000,0,0,2
Deadline,6341,"[18, 9648, 53]",91316,en,1.4,2012-02-15,5.5,4,tt9450450,Deadline,2017.0,78.0,Documentary,,,29,"Dec 31, 2009",1800000,0,0,2
Deadpool,17383,"[28, 12, 35]",293660,en,35.067,2016-02-12,7.6,20175,tt1431045,Deadpool,2016.0,108.0,Action,Adventure,Comedy,56,"Feb 12, 2016",58000000,363070709,801025593,2
Deadpool 2,23823,"[28, 35, 12]",383498,en,38.894,2018-05-10,7.5,8773,tt5463162,Deadpool 2,2018.0,119.0,Action,Adventure,Comedy,15,"May 18, 2018",110000000,324591735,786680557,5
Dear John,82,"[18, 10749, 10752]",22971,en,12.048,2010-02-04,6.8,2676,tt0989757,Dear John,2010.0,108.0,Drama,Romance,War,77,"Feb 5, 2010",25000000,80014842,142033509,2
Dear White People,11354,"[35, 18]",114750,en,7.455,2014-10-17,6.1,296,tt2235108,Dear White People,2014.0,108.0,Comedy,Drama,Romance,51,"Oct 17, 2014",1250000,4404154,5403771,10
Death Wish,23917,"[28, 80, 18, 53]",395990,en,18.014,2018-03-02,5.9,1207,tt1137450,Death Wish,2018.0,107.0,Action,Crime,Drama,28,"Mar 2, 2018",30000000,34017028,48575965,3
Death at a Funeral,319,[35],34803,en,6.862,2010-04-15,5.7,439,tt1321509,Death at a Funeral,2010.0,92.0,Comedy,,,64,"Apr 16, 2010",21000000,42739347,48977233,4
Death at a Funeral,319,[35],34803,en,6.862,2010-04-15,5.7,439,tt1321509,Death at a Funeral,2010.0,92.0,Comedy,,,53,"Aug 17, 2007",20000000,8580428,46790428,4
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,6542,[99],180383,en,1.0759999999999998,2012-10-04,7.1,18,tt2654360,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012.0,88.0,Documentary,,,52,"Apr 17, 2013",500000,152449,152449,10
Deepwater Horizon,17476,"[18, 28]",296524,en,13.685,2016-09-30,6.7,2606,tt1860357,Deepwater Horizon,2016.0,107.0,Action,Drama,History,47,"Sep 30, 2016",156000000,61433527,122603824,9
Deliver Us from Evil,11132,"[53, 80, 27]",184346,en,11.283,2014-07-02,6.1,1104,tt2377322,Deliver Us from Evil,2014.0,118.0,Horror,Mystery,Thriller,34,"Jul 2, 2014",30000000,30577122,87956618,7
Delivery Man,8118,[35],146239,en,7.962000000000001,2013-11-22,6.2,858,tt2387559,Delivery Man,2013.0,105.0,Comedy,Drama,,21,"Nov 22, 2013",22000000,30659817,70536870,11
Demonic,14555,"[53, 27]",234212,en,6.84,2015-03-28,5.1,267,tt1841642,Demonic,2015.0,83.0,Horror,Thriller,,56,"Oct 10, 2017",3000000,0,4668109,3
Demonic,14555,"[53, 27]",234212,en,6.84,2015-03-28,5.1,267,tt8816388,Demonic,2018.0,28.0,Documentary,,,56,"Oct 10, 2017",3000000,0,4668109,3
Den of Thieves,23880,"[28, 53, 80]",449443,en,22.738000000000003,2018-01-19,6.6,1244,tt1259528,Den of Thieves,2018.0,140.0,Action,Crime,Drama,3,"Jan 19, 2018",30000000,44947622,80131391,1
Denial,17622,"[18, 36]",402298,en,9.267000000000001,2016-09-30,6.7,349,tt4645330,Denial,2016.0,109.0,Biography,Drama,,66,"Sep 30, 2016",10000000,4073448,9263940,9
Denial,17622,"[18, 36]",402298,en,9.267000000000001,2016-09-30,6.7,349,tt5897002,Denial,2016.0,93.0,Documentary,,,66,"Sep 30, 2016",10000000,4073448,9263940,9
Departure,19293,"[10749, 18]",370048,en,0.885,2016-05-12,10.0,1,tt2248739,Departure,2015.0,109.0,Drama,Romance,,3,"Mar 7, 2017",1100000,0,27561,5
Departure,19293,"[10749, 18]",370048,en,0.885,2016-05-12,10.0,1,tt2525786,Departure,2013.0,86.18724706088021,Action,,,3,"Mar 7, 2017",1100000,0,27561,5
Departure,19293,"[10749, 18]",370048,en,0.885,2016-05-12,10.0,1,tt5299312,Departure,2016.0,86.0,Drama,Romance,,3,"Mar 7, 2017",1100000,0,27561,5
Departure,19293,"[10749, 18]",370048,en,0.885,2016-05-12,10.0,1,tt7023278,Departure,2019.0,86.18724706088021,Drama,,,3,"Mar 7, 2017",1100000,0,27561,5
Derailed,255,"[18, 53]",8999,en,7.814,2005-11-11,6.2,500,tt6877488,Derailed,2017.0,76.0,Drama,,,19,"Nov 11, 2005",22000000,36020063,57520063,11
Desert Dancer,15478,[18],266102,en,1.508,2015-03-20,6.9,33,tt2403393,Desert Dancer,2014.0,104.0,Biography,Drama,Music,38,"Apr 10, 2015",4000000,155271,596335,3
Despicable Me,8,"[16, 10751, 35]",20352,en,23.673000000000002,2010-07-09,7.2,10057,tt1323594,Despicable Me,2010.0,95.0,Animation,Comedy,Family,50,"Jul 9, 2010",69000000,251513985,543464573,7
Despicable Me 2,7894,"[16, 35, 10751]",93456,en,19.014,2013-07-03,6.9,7319,tt1690953,Despicable Me 2,2013.0,98.0,Adventure,Animation,Comedy,22,"Jul 3, 2013",76000000,368065385,975216835,7
Despicable Me 3,20686,"[28, 16, 35, 10751, 12]",324852,en,16.407,2017-06-30,6.3,4106,tt3469046,Despicable Me 3,2017.0,89.0,Adventure,Animation,Comedy,30,"Jun 30, 2017",75000000,264624300,1034727750,6
Destroyer,23921,"[53, 80, 18, 28]",471507,en,17.815,2018-12-25,5.9,176,tt7137380,Destroyer,2018.0,121.0,Action,Crime,Drama,5,"Dec 25, 2018",9000000,1533324,3681096,12
Detention,748,"[27, 28, 35, 53]",108993,en,2.377,2010-01-16,3.5,15,tt0990363,Detention,2010.0,81.0,Horror,Thriller,,45,"Apr 13, 2012",10000000,0,0,1
Detention,748,"[27, 28, 35, 53]",108993,en,2.377,2010-01-16,3.5,15,tt1701990,Detention,2011.0,93.0,Comedy,Horror,Mystery,45,"Apr 13, 2012",10000000,0,0,1
Detention,748,"[27, 28, 35, 53]",108993,en,2.377,2010-01-16,3.5,15,tt3073168,Detention,2014.0,51.0,Drama,,,45,"Apr 13, 2012",10000000,0,0,1
Detention,748,"[27, 28, 35, 53]",108993,en,2.377,2010-01-16,3.5,15,tt3688744,Detention,2013.0,70.0,Drama,,,45,"Apr 13, 2012",10000000,0,0,1
Detention,748,"[27, 28, 35, 53]",108993,en,2.377,2010-01-16,3.5,15,tt7738704,Detention,2019.0,86.18724706088021,Horror,,,45,"Apr 13, 2012",10000000,0,0,1
Detention,748,"[27, 28, 35, 53]",108993,en,2.377,2010-01-16,3.5,15,tt8408152,Detention,2012.0,86.18724706088021,Horror,,,45,"Apr 13, 2012",10000000,0,0,1
Detention of the Dead,5713,"[35, 27]",139715,en,4.268,2012-04-27,5.0,50,tt1865346,Detention of the Dead,2012.0,87.0,Action,Adventure,Comedy,66,"Jun 28, 2013",500000,1778,1778,4
Devil,125,"[27, 9648, 53]",44040,en,10.203,2010-09-17,5.9,1516,tt1314655,Devil,2010.0,80.0,Horror,Mystery,Thriller,71,"Sep 17, 2010",10000000,33679655,63354114,9
Devil's Due,11553,[27],79316,en,5.893,2014-01-17,4.5,303,tt2752758,Devil's Due,2014.0,89.0,Horror,Mystery,Thriller,14,"Jan 17, 2014",7000000,15821461,36146087,1
Diamond Ruff,16172,[],325579,en,0.7759999999999999,2015-01-01,2.4,4,tt2111292,Diamond Ruff,2015.0,82.0,Action,,,80,"Dec 31, 2014",500000,0,0,1
Diane,24969,[18],510034,en,3.5210000000000004,2018-04-22,7.5,4,tt3021984,Diane,2017.0,82.0,Crime,Drama,Horror,98,"Jan 12, 1956",2660000,0,0,4
Diane,24969,[18],510034,en,3.5210000000000004,2018-04-22,7.5,4,tt6705860,Diane,2018.0,95.0,Drama,,,98,"Jan 12, 1956",2660000,0,0,4
Diary of a Wimpy Kid,77,"[35, 10751]",33217,en,12.255999999999998,2010-03-19,6.0,736,tt1196141,Diary of a Wimpy Kid,2010.0,94.0,Comedy,Drama,Family,13,"Mar 19, 2010",15000000,64003625,76954311,3
Diary of a Wimpy Kid: Dog Days,5279,"[35, 10751]",82650,en,11.36,2012-08-03,6.2,440,tt2023453,Diary of a Wimpy Kid: Dog Days,2012.0,94.0,Comedy,Family,,17,"Aug 3, 2012",22000000,49008662,77229695,8
Diary of a Wimpy Kid: Rodrick Rules,2678,"[10751, 35]",60307,en,8.961,2011-03-25,6.4,492,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,2011.0,99.0,Comedy,Family,,80,"Mar 25, 2011",18000000,52698535,73695194,3
Diary of a Wimpy Kid: The Long Haul,20821,"[35, 10751]",417830,en,10.839,2017-05-19,5.6,193,tt6003368,Diary of a Wimpy Kid: The Long Haul,2017.0,91.0,Comedy,Family,,27,"May 19, 2017",22000000,20738724,35609577,5
Dinner for Schmucks,333,[35],38778,en,6.632000000000001,2010-07-30,5.6,920,tt0427152,Dinner for Schmucks,2010.0,114.0,Comedy,,,51,"Jul 30, 2010",69000000,73026337,86796502,7
Dirty Grandpa,17528,[35],291870,en,11.432,2016-01-22,5.8,2667,tt1860213,Dirty Grandpa,2016.0,102.0,Comedy,,,62,"Jan 22, 2016",11500000,35593113,105078449,1
Divergent,11066,"[28, 12, 878]",157350,en,16.982,2014-03-21,6.9,8279,tt1840309,Divergent,2014.0,139.0,Action,Adventure,Mystery,95,"Mar 21, 2014",85000000,150947895,276014965,3
Django Unchained,5189,"[18, 37]",68718,en,21.26,2012-12-25,8.0,15725,tt1853728,Django Unchained,2012.0,165.0,Drama,Western,,69,"Dec 25, 2012",100000000,162805434,449948323,12
Do You Believe?,14726,"[14, 18]",309425,en,5.599,2015-03-20,7.0,72,tt4056738,Do You Believe?,2015.0,120.0,Drama,,,60,"Mar 20, 2015",2300000,12985600,14304931,3
Do You Believe?,14726,"[14, 18]",309425,en,5.599,2015-03-20,7.0,72,tt6960218,Do You Believe?,2017.0,71.0,Fantasy,Horror,,60,"Mar 20, 2015",2300000,12985600,14304931,3
Doctor Strange,17384,"[28, 12, 14, 878]",284052,en,33.035,2016-11-04,7.3,12582,tt1211837,Doctor Strange,2016.0,115.0,Action,Adventure,Fantasy,28,"Nov 4, 2016",165000000,232641920,676404566,11
Dolphin Tale,2604,"[18, 10751]",62837,en,10.679,2011-09-23,6.8,327,tt1564349,Dolphin Tale,2011.0,113.0,Drama,Family,,93,"Sep 23, 2011",37000000,72286779,96068724,9
Dolphin Tale 2,11363,"[10751, 18]",227735,en,7.403,2014-09-12,6.7,173,tt2978462,Dolphin Tale 2,2014.0,107.0,Drama,Family,,12,"Sep 12, 2014",36000000,42024533,57824533,9
Dom Hemingway,11384,"[35, 80, 18]",192134,en,7.254,2014-04-03,5.8,302,tt2402105,Dom Hemingway,2013.0,93.0,Comedy,Crime,Drama,52,"Apr 2, 2014",7000000,523511,1857458,4
Don Jon,7963,"[10749, 35, 18]",138697,en,12.78,2013-09-27,5.9,2709,tt2229499,Don Jon,2013.0,90.0,Comedy,Drama,Romance,18,"Sep 27, 2013",5500000,24477704,41268579,9
Don't Be Afraid of the Dark,214,"[14, 27, 53]",46261,en,8.405,2010-11-06,5.5,550,tt1270761,Don't Be Afraid of the Dark,2010.0,99.0,Fantasy,Horror,Thriller,43,"Aug 26, 2011",25000000,24046682,39126427,11
Dope,14358,"[80, 18, 35]",308639,en,9.246,2015-06-19,7.2,954,tt3850214,Dope,2015.0,103.0,Comedy,Crime,Drama,11,"Jun 19, 2015",7000000,17506470,18190831,6
Down and Dangerous,11924,"[80, 53, 18]",164286,en,2.6210000000000004,2014-02-14,4.3,9,tt2090488,Down and Dangerous,2013.0,95.0,Crime,Thriller,,22,"Feb 14, 2014",50000,0,0,2
Downsizing,20825,"[35, 18, 878]",301337,en,10.682,2017-12-22,5.1,1887,tt1389072,Downsizing,2017.0,135.0,Drama,Sci-Fi,,62,"Dec 22, 2017",68000000,24449754,54462971,12
Dracula Untold,11029,"[27, 28, 18, 14, 10752]",49017,en,29.043000000000003,2014-10-03,6.2,3719,tt0829150,Dracula Untold,2014.0,92.0,Action,Drama,Fantasy,21,"Oct 10, 2014",70000000,55991880,220241723,10
Draft Day,11162,[18],200505,en,10.581,2014-04-11,6.6,460,tt2223990,Draft Day,2014.0,110.0,Drama,Sport,,36,"Apr 11, 2014",25000000,28842237,29847480,4
Dragonfly,19633,[18],394493,en,0.664,2016-04-10,3.0,2,tt2510506,Dragonfly,2015.0,80.0,Crime,Drama,Thriller,28,"Feb 22, 2002",60000000,30063805,30063805,4
Dragonfly,19633,[18],394493,en,0.664,2016-04-10,3.0,2,tt3060772,Dragonfly,2013.0,75.0,Action,Adventure,Sci-Fi,28,"Feb 22, 2002",60000000,30063805,30063805,4
Dragonfly,19633,[18],394493,en,0.664,2016-04-10,3.0,2,tt3963812,Dragonfly,2016.0,76.0,Drama,,,28,"Feb 22, 2002",60000000,30063805,30063805,4
Dragonslayer,3894,[99],82935,en,1.155,2011-11-04,4.5,2,tt1633989,Dragonslayer,2011.0,74.0,Documentary,,,26,"Jun 26, 1981",18000000,6000000,6000000,11
Dream House,2670,"[18, 53, 9648]",69668,en,9.047,2011-09-30,6.0,670,tt10265116,Dream House,2019.0,86.18724706088021,Comedy,Drama,Romance,80,"Sep 30, 2011",50000000,21302340,41642166,9
Dream House,2670,"[18, 53, 9648]",69668,en,9.047,2011-09-30,6.0,670,tt1462041,Dream House,2011.0,84.0,Drama,Mystery,Thriller,80,"Sep 30, 2011",50000000,21302340,41642166,9
Dreamcatcher,15594,[99],318033,en,1.4,2015-03-27,5.2,5,tt3215846,Dreamcatcher,2015.0,104.0,Crime,Documentary,Drama,59,"Mar 21, 2003",68000000,33685268,75685268,3
Dredd,5246,"[28, 878]",49049,en,13.222999999999999,2012-09-21,6.7,2788,tt1343727,Dredd,2012.0,95.0,Action,Crime,Sci-Fi,15,"Sep 21, 2012",45000000,13414714,41467606,9
Drinking Buddies,8066,"[10749, 18]",172533,en,8.997,2013-08-23,6.0,528,tt2265398,Drinking Buddies,2013.0,90.0,Comedy,Drama,Romance,45,"Aug 23, 2013",500000,343706,407100,8
Drive,2502,"[18, 28, 53, 80]",64690,en,15.875,2011-09-16,7.5,6737,tt0780504,Drive,2011.0,100.0,Crime,Drama,,36,"Sep 16, 2011",15000000,35060689,81357930,9
Drive,2502,"[18, 28, 53, 80]",64690,en,15.875,2011-09-16,7.5,6737,tt1709105,Drive,2010.0,55.0,Documentary,,,36,"Sep 16, 2011",15000000,35060689,81357930,9
Drive,2502,"[18, 28, 53, 80]",64690,en,15.875,2011-09-16,7.5,6737,tt2381161,Detour to Route 80,2013.0,53.0,Thriller,,,36,"Sep 16, 2011",15000000,35060689,81357930,9
Drive,2502,"[18, 28, 53, 80]",64690,en,15.875,2011-09-16,7.5,6737,tt4824222,Drive,2018.0,84.0,Drama,,,36,"Sep 16, 2011",15000000,35060689,81357930,9
Drive,2502,"[18, 28, 53, 80]",64690,en,15.875,2011-09-16,7.5,6737,tt6593054,Drive,2019.0,147.0,Action,Crime,Drama,36,"Sep 16, 2011",15000000,35060689,81357930,9
Drive Angry,2527,"[14, 53, 28, 80]",47327,en,14.095999999999998,2011-02-24,5.3,959,tt1502404,Drive Angry,2011.0,104.0,Action,Fantasy,Thriller,91,"Feb 25, 2011",50000000,10721033,41042583,2
Drive Hard,11409,"[28, 35, 80]",256092,en,6.957000000000001,2014-10-03,4.0,94,tt2968804,Drive Hard,2014.0,92.0,Action,Comedy,Crime,54,"Oct 3, 2014",12000000,0,0,10
Driving Miss Daisy,13626,[],289450,en,0.6,2014-06-04,6.7,5,tt4653310,Driving Miss Daisy,2014.0,100.0,Comedy,Drama,,53,"Dec 13, 1989",7500000,106593296,106593296,6
Drones,1056,"[35, 878]",49250,en,1.421,2010-01-23,5.2,5,tt1232775,Drones,2010.0,98.0,Comedy,,,72,"Dec 31, 2010",500000,0,0,1
Drones,1056,"[35, 878]",49250,en,1.421,2010-01-23,5.2,5,tt2179027,Drones,2013.0,82.0,Thriller,,,72,"Dec 31, 2010",500000,0,0,1
Drunk Wedding,15613,[35],340190,en,1.4,2015-05-22,3.9,15,tt1950135,Drunk Wedding,2015.0,81.0,Comedy,,,15,"May 22, 2015",600000,3301,3301,5
Dry Spell,10470,"[35, 10749]",255266,en,0.6,2013-02-14,6.0,1,tt2375036,Dry Spell,2013.0,90.0,Comedy,Romance,,54,"Dec 31, 2014",22000,0,0,2
Due Date,72,"[35, 18]",41733,en,12.445,2010-11-04,6.3,2973,tt1231583,Due Date,2010.0,95.0,Adventure,Comedy,,84,"Nov 5, 2010",65000000,100539043,211739043,11
